Limit 1 b KM,Limit 1 b KMD,Limit 1 b distances,,Limit 1 y KM,Limit 1 y KMD,Limit 1 y distances,,Limit 2 b KM,Limit 2 b KMD,Limit 2 b distances,,Limit 2 y KM,Limit 2 y KMD,Limit 2 y distances
840.9472,0.0528,0.0407,,607.1376,-0.1376,0.0161,,760.0402,-0.0402,0.062,,466.0771,-0.0771,0.0261
841.972,0.028,0.0163,,607.1401,-0.1401,0.0186,,771.9501,0.0499,0.0288,,471.0771,-0.0771,0.0267
858.9551,0.0449,0.0353,,625.1419,-0.1419,0.018,,791.0348,-0.0348,0.0526,,484.1471,-0.1471,0.0411
849.0316,-0.0316,0.0418,,647.1028,-0.1028,0.0236,,820.9178,0.0822,0.0673,,489.1112,-0.1112,0.0049
863.0304,-0.0304,0.0388,,652.1309,-0.1309,0.0038,,840.9451,0.0549,0.0428,,500.051,-0.051,0.0563
883.0294,-0.0294,0.0352,,666.116,-0.116,0.0129,,840.9472,0.0528,0.0407,,513.033,-0.033,0.0757
889.9974,0.0026,0.0026,,673.1103,-0.1103,0.0194,,841.972,0.028,0.0163,,506.1244,-0.1244,0.0158
911.958,0.042,0.0394,,668.1531,-0.1531,0.0237,,858.9551,0.0449,0.0353,,506.1261,-0.1261,0.0175
911.9606,0.0394,0.0368,,689.1484,-0.1484,0.0164,,849.0316,-0.0316,0.0418,,518.1111,-0.1111,0.0011
920.0308,-0.0308,0.0318,,701.1152,-0.1152,0.0181,,846.0597,-0.0597,0.0701,,524.129,-0.129,0.018
929.968,0.032,0.0317,,714.1678,-0.1678,0.0325,,877.9138,0.0862,0.0787,,534.1093,-0.1093,0.0027
933.021,-0.021,0.0204,,717.166,-0.166,0.0303,,863.0304,-0.0304,0.0388,,527.1767,-0.1767,0.065
931.0498,-0.0498,0.0491,,736.1361,-0.1361,0.0017,,883.0294,-0.0294,0.0352,,542.133,-0.133,0.0198
938.0479,-0.0479,0.0463,,736.1392,-0.1392,0.0014,,889.9974,0.0026,0.0026,,552.1163,-0.1163,0.0019
984.0273,-0.0273,0.0199,,741.1091,-0.1091,0.0291,,911.958,0.042,0.0394,,560.0571,-0.0571,0.0578
987.0632,-0.0632,0.0552,,748.1698,-0.1698,0.0302,,911.9606,0.0394,0.0368,,550.1359,-0.1359,0.0216
997.0285,-0.0285,0.0194,,754.139,-0.139,0.0012,,920.0308,-0.0308,0.0318,,561.0726,-0.0726,0.0425
1003.0338,-0.0338,0.0239,,811.1587,-0.1587,0.0112,,929.968,0.032,0.0317,,561.1696,-0.1696,0.0537
1011.009,-0.009,0.0018,,824.1472,-0.1472,0.0019,,933.021,-0.021,0.0204,,568.1317,-0.1317,0.0152
1012.0705,-0.0705,0.0591,,851.1238,-0.1238,0.0285,,931.0498,-0.0498,0.0491,,588.042,-0.042,0.0763
1025.0034,-0.0034,0.0091,,851.1297,-0.1297,0.0227,,938.0479,-0.0479,0.0463,,583.1586,-0.1586,0.0399
1025.0063,-0.0063,0.0063,,864.153,-0.153,0.0012,,984.0273,-0.0273,0.0199,,585.168,-0.168,0.049
1029.0539,-0.0539,0.0404,,869.1446,-0.1446,0.0102,,987.0632,-0.0632,0.0552,,601.1392,-0.1392,0.0184
1043.0113,-0.0113,0.0036,,887.1526,-0.1526,0.0046,,997.0285,-0.0285,0.0194,,608.0854,-0.0854,0.0358
1047.9908,0.0092,0.0246,,926.1686,-0.1686,0.0064,,1003.0338,-0.0338,0.0239,,607.1376,-0.1376,0.0161
1061.0204,-0.0204,0.003,,932.1657,-0.1657,0.0027,,1011.009,-0.009,0.0018,,607.1401,-0.1401,0.0186
1066.0011,-0.0011,0.0167,,943.1602,-0.1602,0.0041,,1012.0705,-0.0705,0.0591,,625.1419,-0.1419,0.018
1062.0464,-0.0464,0.0287,,942.1787,-0.1787,0.0143,,1025.0034,-0.0034,0.0091,,647.1028,-0.1028,0.0236
1069.0178,-0.0178,0.0006,,948.1434,-0.1434,0.0214,,1025.0063,-0.0063,0.0063,,652.1309,-0.1309,0.0038
1070.0622,-0.0622,0.0432,,948.1457,-0.1457,0.0191,,1029.0539,-0.0539,0.0404,,665.0845,-0.0845,0.0439
1084.0125,-0.0125,0.0078,,960.1656,-0.1656,0.0009,,1043.0113,-0.0113,0.0036,,668.0667,-0.0667,0.062
1086.0117,-0.0117,0.0089,,961.1612,-0.1612,0.0054,,1047.9908,0.0092,0.0246,,666.116,-0.116,0.0129
1101.0243,-0.0243,0.0016,,959.1873,-0.1873,0.0207,,1046.0805,-0.0805,0.0645,,673.1103,-0.1103,0.0194
1097.0659,-0.0659,0.0434,,966.1506,-0.1506,0.0166,,1061.0204,-0.0204,0.003,,668.1531,-0.1531,0.0237
